seq_name,n_pairs,n_event,n_white,iou,dice,f1,precision,recall,iou_event,dice_event,f1_event,precision_event,recall_event,pred_fp50_frame,gt_fp50_frame
KateTulipPoplarTas2_201223,999,156,843,0.053539683946654704,0.07337143011173645,0.07337143011173645,0.1081318029466602,0.06127672086182395,0.3428598991199234,0.4698593505232354,0.4698593505232354,0.6924594304084202,0.39240669321129573,190,106
Senecio_10_11_L1_Cavicam12_160725,507,51,456,0.03726953042168867,0.05273154992970265,0.052731549929702644,0.04757440886112482,0.06524739202591796,0.3705029788979639,0.5242136434188086,0.5242136434188086,0.47294559397235836,0.648635838375302,180,178
Senecio_10_11_L3_Cavicam14_160725,509,42,467,0.032357062097450914,0.04521469892892507,0.04521469892892508,0.05104807481779356,0.042419483764134264,0.3921367763714884,0.5479590894005444,0.5479590894005444,0.6186540495775458,0.5140837437129605,207,190
Senecio_10_11_L4_Cavicam15_160725,514,26,488,0.015570688591584622,0.022135181314383346,0.022135181314383346,0.02925655413946109,0.01968308475917832,0.30782053600286524,0.43759550752280924,0.4375955075228093,0.5783795702955001,0.38911944485452526,238,238
Senecio_10_11_L5_Cavicam16_160725,516,23,493,0.01874435403732307,0.025574656236877012,0.025574656236877012,0.023660958014483067,0.029169049265447326,0.4205255079677697,0.5737618529664581,0.5737618529664582,0.5308284493684026,0.6544012791726445,212,212
Senecio_16_05_L1_Cavicam15_090725,483,42,441,0.034592674390855796,0.047758233275115684,0.047758233275115684,0.04384717966124991,0.05735311610762792,0.39781575549484166,0.5492196826638304,0.5492196826638304,0.5042425661043739,0.6595608352377212,147,158
Senecio_16_05_L2_Cavicam14_090725,481,35,446,0.029332361054085695,0.04045604865985049,0.04045604865985049,0.040620891955088625,0.041707015621384264,0.4031104476290063,0.5559816972968026,0.5559816972968025,0.5582471151542181,0.5731735575395952,192,195
Senecio_16_05_L3_Cavicam13_090725,486,33,453,0.02715399828720779,0.03771216946281906,0.03771216946281906,0.038122438997393385,0.03930798601059972,0.39990433841160566,0.5553974048160624,0.5553974048160625,0.5614395561434299,0.5788994303379231,200,200
Senecio_16_05_L4_Cavicam16_090725,483,35,448,0.023593767800137215,0.03332434726400439,0.03332434726400439,0.038279213382029526,0.03234587472789537,0.32559399564189356,0.45987599224326053,0.45987599224326053,0.5282531446720075,0.446373071244956,191,167
Senecio_16_05_L5_Cavicam12_090725,481,30,451,0.02440588367640154,0.033080787958107795,0.033080787958107795,0.03789823929178596,0.032036119290211156,0.39130766827830477,0.5303953002616616,0.5303953002616616,0.6076351033116348,0.5136457792863857,246,246
Senecio_17_11_L1_Cavicam16_210725,509,81,428,1.173196737222697e-05,2.3338812769509663e-05,2.3338812769509667e-05,3.2746912881626745e-05,2.5706119166290057e-05,7.372310361066083e-05,0.0001466599469096348,0.00014665994690963482,0.00020577998341664213,0.0001615359834029832,190,216
Senecio_17_11_L5_Cavicam12_210725,539,39,500,0.029406884975151027,0.04045770994866644,0.04045770994866644,0.044481068071334284,0.04040905734158846,0.4064182308104206,0.5591462990341335,0.5591462990341336,0.6147511715499789,0.558473895054261,219,216
TPfreeze9__TP24_leaf1_3006229,220,3,217,0.0016505734525215044,0.002773543821448013,0.002773543821448013,0.005233478565153975,0.0021148285752827646,0.12104205318491033,0.2033932135728543,0.2033932135728543,0.3837884281112915,0.15508742885406943,162,163
