n,seed,iou_event,dice_event,f1_event,precision_event,recall_event,pred_fp50_frame,gt_fp50_frame,avg_pred_wp,avg_gt_wp,abs_wp_error
12,0,0.301,0.4308,0.4308,0.6149,0.3719,202.4,200.0,-3.7064609306511427,-3.6825006652707066,0.023960265380436052
12,1,0.3218,0.4561,0.4561,0.6095,0.4035,202.2,200.0,-3.702954515920119,-3.6825006652707066,0.02045385064941252
12,2,0.3797,0.5287,0.5287,0.5568,0.5467,199.8,200.0,-3.6721378252406938,-3.6825006652707066,0.010362840030012865
12,3,0.3689,0.5144,0.5144,0.5684,0.5211,200.8,200.0,-3.6927082362415518,-3.6825006652707066,0.010207570970845126
12,4,0.349,0.4883,0.4883,0.6106,0.4542,197.2,200.0,-3.6527727381348094,-3.6825006652707066,0.029727927135897225
12,5,0.3711,0.5161,0.5161,0.5759,0.5145,197.5,200.0,-3.656889622680647,-3.6825006652707066,0.02561104259005953
12,6,0.336,0.4741,0.4741,0.6266,0.4176,201.6,200.0,-3.6987347323185533,-3.6825006652707066,0.01623406704784669
12,7,0.3223,0.4542,0.4542,0.6165,0.4002,199.0,200.0,-3.671435141616017,-3.6825006652707066,0.011065523654689713
16,0,0.3501,0.4912,0.4912,0.6062,0.4595,201.4,200.0,-3.6959901426187316,-3.6825006652707066,0.01348947734802497
16,1,0.3566,0.4997,0.4997,0.611,0.466,196.6,200.0,-3.646880140615899,-3.6825006652707066,0.035620524654807806
16,2,0.3658,0.5106,0.5106,0.586,0.4952,203.2,200.0,-3.7195487123430637,-3.6825006652707066,0.03704804707235709
16,3,0.3422,0.4824,0.4824,0.5462,0.4881,201.7,200.0,-3.680308539085657,-3.6825006652707066,0.002192126185049492
16,4,0.3535,0.4966,0.4966,0.5755,0.4898,202.0,200.0,-3.7080330368742067,-3.6825006652707066,0.02553237160350008
16,5,0.3628,0.5066,0.5066,0.5792,0.494,197.6,200.0,-3.657936701483733,-3.6825006652707066,0.024563963786973453
24,0,0.3122,0.4416,0.4416,0.6302,0.3788,196.7,200.0,-3.647871522947612,-3.6825006652707066,0.03462914232309444
24,1,0.3611,0.5054,0.5054,0.5963,0.4827,200.4,200.0,-3.693703532410855,-3.6825006652707066,0.01120286714014851
24,2,0.3694,0.5144,0.5144,0.5522,0.5353,202.6,200.0,-3.7127828968476115,-3.6825006652707066,0.030282231576904906
24,3,0.3615,0.5031,0.5031,0.5854,0.4845,200.0,200.0,-3.6878244777204374,-3.6825006652707066,0.0053238124497307915
32,0,0.3656,0.5108,0.5108,0.5767,0.5004,204.0,200.0,-3.729393296365528,-3.6825006652707066,0.046892631094821446
32,1,0.3703,0.5153,0.5153,0.5958,0.4937,199.5,200.0,-3.6760201035419464,-3.6825006652707066,0.006480561728760215
32,2,0.3736,0.5199,0.5199,0.5886,0.5064,202.0,200.0,-3.7019473993932737,-3.6825006652707066,0.019446734122567033
